Team/NOC,Gold Medal,Silver Medal,Bronze Medal,Total,NOCCode
United States,23,22,21,66,USA
China,22,16,9,47,CHN
Japan,14,8,8,30,JPN
Great Britain,6,7,10,23,GBR
ROC,9,15,8,32,ROC
Australia,10,3,9,22,AUS
Netherlands,5,4,12,21,NED
France,2,8,5,15,FRA
Germany,4,3,5,12,GER
Italy,2,3,10,15,ITA
Canada,5,5,8,18,CAN
Brazil,3,4,2,9,BRA
New Zealand,6,3,2,11,NZL
Cuba,0,1,1,2,CUB
Hungary,1,1,3,5,HUN
Republic of Korea,2,3,3,8,KOR
Poland,1,5,2,8,POL
Czech Republic,1,1,0,2,CZE
Kenya,2,2,1,5,KEN
Norway,0,0,1,1,NOR
Jamaica,3,1,3,7,JAM
Spain,1,4,1,6,ESP
Sweden,0,3,0,3,SWE
Switzerland,3,3,4,10,SUI
Denmark,1,1,3,5,DEN
Croatia,1,0,0,1,CRO
Serbia,2,0,2,4,SRB
Belgium,2,0,0,2,BEL
Bulgaria,3,1,2,6,BUL
Slovenia,1,1,0,2,SLO
Chinese Taipei,1,1,4,6,TPE
Turkey,1,1,3,5,TUR
Uganda,1,0,0,1,UGA
Ecuador,1,1,0,2,ECU
Ireland,1,0,1,2,IRL
Israel,1,0,1,2,ISR
Bahamas,1,0,0,1,BAH
Kosovo,2,0,0,2,KOS
Ukraine,0,3,8,11,UKR
Belarus,0,2,2,4,BLR
Romania,1,1,0,2,ROU
Venezuela,1,0,0,1,VEN
India,0,1,2,3,IND
"Hong Kong, China",0,2,3,5,HKG
Philippines,1,1,0,2,PHI
Slovakia,1,0,0,1,SVK
South Africa,1,2,0,3,RSA
Austria,1,1,2,4,AUT
Egypt,1,0,2,3,EGY
Indonesia,1,0,1,2,INA
Ethiopia,0,0,2,2,ETH
Portugal,0,1,0,1,POR
Estonia,1,0,1,2,EST
Fiji,0,0,1,1,FIJ
Thailand,1,0,1,2,THA
Bermuda,1,0,0,1,BER
Puerto Rico,1,0,0,1,PUR
Colombia,0,2,0,2,COL
Azerbaijan,0,1,2,3,AZE
Dominican Rep.,0,1,1,2,DOM
Kyrgyzstan,0,1,1,2,KGZ
Mongolia,0,0,2,2,MGL
Argentina,0,1,0,1,ARG
San Marino,0,0,1,1,SMR
Nigeria,0,1,1,2,NGR
Bahrain,0,1,0,1,BRN
Lithuania,0,1,0,1,LTU
Namibia,0,1,0,1,NAM
Turkmenistan,0,1,0,1,TKM
Kazakhstan,0,0,2,2,KAZ
Mexico,0,0,2,2,MEX
Finland,0,0,1,1,FIN
Côte d'Ivoire,0,0,1,1,CIV
